Country,Region,Year,Life Expectancy,GDP Per Capita
Turkiye,Middle East,2015,76.5,11006
Spain,European Union,2015,82.8,25742
India,Asia,2007,65.4,1076
Guyana,South America,2006,67,4146
Israel,Middle East,2012,81.7,33995
Costa Rica,Central America and Caribbean,2006,78.2,9110
Russian Federation,Rest of Europe,2015,71.2,9313
Hungary,European Union,2000,71.2,8971
Jordan,Middle East,2001,71.9,3708
Moldova,Rest of Europe,2008,68.7,2235
Brazil,South America,2012,74.2,9057
Malta,European Union,2007,79.8,19338
"Bahamas, The",Central America and Caribbean,2011,72.3,32027
Ukraine,Rest of Europe,2002,68.3,1660
Switzerland,Rest of Europe,2006,81.5,79368
Norway,Rest of Europe,2001,78.8,68489
Finland,European Union,2013,81,43045
Comoros,Africa,2007,60.7,1166
Japan,Asia,2005,81.9,33099
Gabon,Africa,2012,62.9,7181
Ghana,Africa,2011,61.4,1580
Philippines,Asia,2001,68.8,1847
"Congo, Rep.",Africa,2003,53.8,2072
Madagascar,Africa,2011,63.8,464
Estonia,European Union,2004,71.9,13283
Belize,Central America and Caribbean,2013,73.5,4667
Kazakhstan,Asia,2006,66.2,7838
Cameroon,Africa,2015,57.6,1383
Jordan,Middle East,2006,72.8,4516
Zimbabwe,Africa,2009,48.4,941
Bhutan,Asia,2005,65.3,1489
Switzerland,Rest of Europe,2010,82.2,82027
South Africa,Africa,2006,53.8,5827
Jordan,Middle East,2012,73.7,4387
Eritrea,Africa,2012,63.2,699
Germany,European Union,2010,80,37761
Saudi Arabia,Middle East,2014,74.5,20328
Kiribati,Oceania,2004,64.2,1488
Seychelles,Africa,2011,72.7,13664
Madagascar,Africa,2012,64.3,465
Singapore,Asia,2014,82.5,54683
Togo,Africa,2008,56.2,456
Denmark,European Union,2009,78.6,50457
"Gambia, The",Africa,2015,60.9,661
Costa Rica,Central America and Caribbean,2014,79.4,11355
Belize,Central America and Caribbean,2010,72.1,4768
Sweden,European Union,2010,81.5,48370
Austria,European Union,2014,81.5,44245
Kyrgyz Republic,Asia,2012,70,994
Grenada,Central America and Caribbean,2013,72.6,8067
Brunei Darussalam,Asia,2010,74.7,33437
Greece,European Union,2009,80.2,22839
Norway,Rest of Europe,2010,81,72427
Uruguay,South America,2006,76,10575
Croatia,European Union,2006,75.8,11960
Romania,European Union,2008,72.6,8280
Central African Republic,Africa,2011,48,550
Algeria,Africa,2015,76.1,4178
"Yemen, Rep.",Middle East,2011,65.8,2311
Armenia,Rest of Europe,2009,73.1,2884
Zimbabwe,Africa,2004,43.1,1212
St. Vincent and the Grenadines,Central America and Caribbean,2003,71.1,6075
Kenya,Africa,2007,57.5,1287
"Micronesia, Fed. Sts.",Oceania,2003,65.1,3035
Antigua and Barbuda,Central America and Caribbean,2004,74.8,14400
Nepal,Asia,2007,66.3,643
Lithuania,European Union,2005,71.3,9766
Vanuatu,Oceania,2003,68,2519
Afghanistan,Asia,2000,55.8,148
Kuwait,Middle East,2011,74.6,33167
Kenya,Africa,2011,61.9,1357
Germany,European Union,2004,78.7,35034
Argentina,South America,2014,75.9,13568
Panama,Central America and Caribbean,2008,76.4,9894
Oman,Middle East,2015,76.9,18445
France,European Union,2014,82.7,36379
Bosnia and Herzegovina,Rest of Europe,2011,76.2,4185
Mauritania,Africa,2002,60.9,1234
Somalia,Africa,2008,53.3,265
Azerbaijan,Asia,2011,71.2,5153
Maldives,Asia,2007,74.6,8535
